ticker,date,price,price_after_fees
KR5105819183,2011-05-31,753.9,721.4
KR5105819183,2011-06-30,766.9,734.4
KR5105819183,2011-08-31,712.2,676.2
KR5105819183,2011-09-30,760.6,724.6
KR5105819183,2011-10-31,745.7,706.2
KR5105819183,2011-11-30,715.1,675.6
KR5105819183,2012-01-31,736.8,694.0
KR5105819183,2012-02-29,775.0,732.2
KR5105819183,2012-04-30,754.6,708.3
KR5105819183,2012-05-31,715.8,669.5
KR5105819183,2012-07-31,700.7,651.2
KR5105819183,2012-08-31,703.3,653.8
KR5105819183,2012-10-31,667.0,614.4
KR5105819183,2012-11-30,674.3,621.7
KR5105819183,2012-12-31,693.3,640.7
KR5105819183,2013-01-31,729.1,673.2
KR5105819183,2013-02-28,737.2,681.3
KR5105819183,2013-04-30,861.5,801.6
KR5105819183,2013-05-31,835.0,775.1
KR5105819183,2013-07-31,861.5,797.6
KR5105819183,2013-09-30,882.5,818.6
KR5105819183,2013-10-31,870.9,803.0
KR5105819183,2013-12-31,878.5,810.6
KR5105819183,2014-02-28,851.6,779.7
KR5105819183,2014-03-31,825.9,754.0
KR5105819183,2014-04-30,780.2,704.8
KR5105819183,2014-06-30,837.6,762.2
KR5105819183,2014-07-31,864.2,784.8
KR5105819183,2014-09-30,870.2,790.8
KR5105819183,2014-10-31,838.6,755.3
KR5105819183,2014-12-31,864.0,780.7
KR5105819183,2015-03-31,961.3,874.0
KR5105819183,2015-04-30,970.5,878.7
KR5105819183,2015-06-30,997.9,906.1
KR5105819183,2015-07-31,1022.0,925.5
KR5105819183,2015-08-31,986.3,889.8
KR5105819183,2015-09-30,942.3,845.8
KR5105819183,2015-11-30,991.6,890.7
KR5105819183,2015-12-31,1000.3,899.4
KR5105819183,2016-02-29,947.9,842.7
KR5105819183,2016-03-31,929.3,824.1
KR5105819183,2016-05-31,973.8,864.3
KR5105819183,2016-06-30,941.2,831.7
KR5105819183,2016-08-31,936.6,822.8
KR5105819183,2016-09-30,951.4,837.6
KR5105819183,2016-10-31,986.6,868.2
KR5105819183,2016-11-30,989.8,871.4
KR5105819183,2017-01-31,1033.8,910.7
KR5105819183,2017-02-28,1019.9,896.8
KR5105819183,2017-03-31,1028.7,905.6
KR5105819183,2017-05-31,1069.3,941.4
KR5105819183,2017-06-30,1086.6,958.7
KR5105819183,2017-07-31,1080.4,947.6
KR5105819183,2017-08-31,1088.3,955.5
KR5105819183,2017-10-31,1173.2,1035.0
KR5105819183,2017-11-30,1178.6,1040.4
KR5105819183,2018-01-31,1269.1,1125.1
KR5105819183,2018-02-28,1232.2,1088.2
KR5105819183,2018-04-30,1197.8,1048.3
KR5105819183,2018-05-31,1169.0,1019.5
KR5105819183,2018-07-31,1217.5,1062.4
KR5105819183,2018-08-31,1180.6,1025.5
KR5105819183,2018-10-31,1109.6,949.4
KR5105819183,2018-11-30,1113.5,953.3
KR5105819183,2018-12-31,1032.0,871.8
KR5105819183,2019-01-31,1072.5,907.3
KR5105819183,2019-02-28,1128.9,963.7
KR5105819183,2019-04-30,1167.1,996.6
KR5105819183,2019-05-31,1131.9,961.4
KR5105819183,2019-07-31,1201.9,1025.9
KR5105819183,2019-09-30,1260.5,1084.5
KR5105819183,2019-10-31,1259.6,1077.8
KR5105819183,2019-12-31,1274.3,1092.5
KR5105819183,2020-01-31,1260.5,1072.9
KR5105819183,2020-03-31,1113.9,926.3
KR5105819183,2020-06-30,1230.5,1037.5
KR5105819183,2020-07-31,1267.1,1068.3
KR5105819183,2020-08-31,1286.5,1087.7
KR5105819183,2020-11-30,1326.1,1121.6
KR5105819183,2020-12-31,1330.9,1126.4
KR5105819183,2021-03-31,1426.4,1215.5
KR5105819183,2021-04-30,1375.3,1158.0
KR5105819183,2021-05-31,1359.7,1142.4
KR5105819183,2021-06-30,1419.0,1201.7
KR5105819183,2021-08-31,1429.5,1205.7
KR5105819183,2021-09-30,1572.8,1349.0
KR5105819183,2021-11-30,1533.3,1302.5
KR5105819183,2021-12-31,1475.7,1244.9
KR5105819183,2022-02-28,1347.1,1109.8
KR5105819183,2022-03-31,1358.1,1120.8
KR5105819183,2022-05-31,1255.1,1012.0
KR5105819183,2022-06-30,1244.8,1001.7
KR5105819183,2022-08-31,1295.0,1046.2
KR5105819183,2022-09-30,1275.2,1026.4
KR5105819183,2022-10-31,1279.1,1024.5
KR5105819183,2022-11-30,1364.8,1110.2
KR5105819183,2023-01-31,1344.3,1083.5
KR5105819183,2023-02-28,1352.7,1091.9
KR5105819183,2023-03-31,1358.2,1097.4
KR5105819183,2023-05-31,1443.8,1176.5
KR5105819183,2023-06-30,1462.4,1195.1
KR5105819183,2023-07-31,1479.3,1205.2
KR5105819183,2023-08-31,1464.6,1190.5
KR5105819183,2023-10-31,1427.4,1146.8
KR5105819183,2023-11-30,1474.1,1193.5
KR5105819183,2024-01-31,1600.4,1312.4
KR5105819183,2024-02-29,1685.4,1397.4
KR5105819183,2024-04-30,1716.2,1420.3
KR5105819183,2024-05-31,1789.9,1494.0
KR5105819183,2024-07-31,1836.7,1532.4
KR5105819183,2024-09-30,1801.8,1497.5
KR5105819183,2024-10-31,1774.3,1461.8
KR5105819183,2024-12-31,1926.1,1613.6
KR5105819183,2025-01-31,1877.2,1556.1
KR5105819183,2025-02-28,1928.8,1607.7
KR5105819183,2025-03-31,1979.9,1658.8
KR5105926012,2009-08-31,643.9,640.9
KR5105926012,2009-09-30,651.5,648.5
KR5105926012,2009-11-30,685.8,679.5
KR5105926012,2009-12-31,701.4,695.1
KR5105926012,2010-03-31,732.9,723.4
KR5105926012,2010-04-30,729.6,720.1
KR5105926012,2010-05-31,723.6,710.7
KR5105926012,2010-06-30,788.0,775.1
KR5105926012,2010-08-31,794.9,778.3
KR5105926012,2010-09-30,864.8,848.2
KR5105926012,2010-11-30,819.4,798.9
KR5105926012,2010-12-31,853.8,833.3
KR5105926012,2011-01-31,775.2,754.7
KR5105926012,2011-02-28,743.8,719.8
KR5105926012,2011-03-31,789.1,765.1
KR5105926012,2011-05-31,744.5,717.0
KR5105926012,2011-06-30,756.4,728.9
KR5105926012,2011-08-31,670.0,639.3
KR5105926012,2011-09-30,691.0,660.3
KR5105926012,2011-10-31,674.9,644.2
KR5105926012,2011-11-30,621.0,587.4
KR5105926012,2012-01-31,665.6,632.0
KR5105926012,2012-02-29,673.6,636.8
KR5105926012,2012-04-30,629.1,592.3
KR5105926012,2012-05-31,593.7,554.1
KR5105926012,2012-07-31,597.1,557.5
KR5105926012,2012-08-31,611.3,568.8
KR5105926012,2012-10-31,643.2,600.7
KR5105926012,2012-11-30,648.4,602.9
KR5105926012,2012-12-31,651.6,606.1
KR5105926012,2013-01-31,693.9,648.4
KR5105926012,2013-02-28,660.8,612.2
KR5105926012,2013-04-30,675.8,627.2
KR5105926012,2013-05-31,695.2,643.3
KR5105926012,2013-07-31,626.6,574.7
KR5105926012,2013-09-30,609.1,554.7
KR5105926012,2013-10-31,636.9,582.5
KR5105926012,2013-12-31,634.7,577.4
KR5105926012,2014-02-28,640.7,580.4
KR5105926012,2014-03-31,690.6,630.3
KR5105926012,2014-04-30,679.8,619.5
KR5105926012,2014-06-30,751.5,687.6
KR5105926012,2014-07-31,785.9,722.0
KR5105926012,2014-09-30,828.0,760.3
KR5105926012,2014-10-31,845.0,777.3
KR5105926012,2014-12-31,902.5,830.5
KR5105926012,2015-03-31,960.6,883.9
KR5105926012,2015-04-30,907.7,831.0
KR5105926012,2015-06-30,950.8,869.7
KR5105926012,2015-07-31,1021.1,940.0
KR5105926012,2015-08-31,957.5,871.9
KR5105926012,2015-09-30,968.6,883.0
KR5105926012,2015-11-30,942.5,852.4
KR5105926012,2015-12-31,978.8,888.7
KR5105926012,2016-02-29,886.5,792.3
KR5105926012,2016-03-31,926.4,832.2
KR5105926012,2016-05-31,1022.1,923.0
KR5105926012,2016-06-30,1004.2,905.1
KR5105926012,2016-08-31,1098.6,994.4
KR5105926012,2016-09-30,1112.1,1007.9
KR5105926012,2016-10-31,1164.1,1059.9
KR5105926012,2016-11-30,1063.2,953.9
KR5105926012,2017-01-31,1143.5,1034.2
KR5105926012,2017-02-28,1182.0,1067.2
KR5105926012,2017-03-31,1220.2,1105.4
KR5105926012,2017-05-31,1259.6,1138.8
KR5105926012,2017-06-30,1281.1,1160.3
KR5105926012,2017-07-31,1328.8,1208.0
KR5105926012,2017-08-31,1325.3,1198.3
KR5105926012,2017-10-31,1346.3,1219.3
KR5105926012,2017-11-30,1335.9,1202.6
KR5105926012,2018-01-31,1408.2,1274.9
KR5105926012,2018-02-28,1329.4,1189.8
KR5105926012,2018-04-30,1309.0,1169.4
KR5105926012,2018-05-31,1295.6,1149.9
KR5105926012,2018-07-31,1370.2,1224.5
KR5105926012,2018-08-31,1347.5,1195.4
KR5105926012,2018-10-31,1125.9,973.8
KR5105926012,2018-11-30,1216.7,1058.9
KR5105926012,2018-12-31,1203.5,1045.7
KR5105926012,2019-01-31,1183.2,1025.4
KR5105926012,2019-02-28,1214.0,1050.5
KR5105926012,2019-04-30,1363.2,1199.7
KR5105926012,2019-05-31,1397.0,1226.9
